,Country,Lat,Long,Confirmed,Deaths,Recovered,Recovery_percent,Death_percent
167,Congo (Kinshasa),-4.0383,21.7587,11450,315,10786,0.9420087336244541,2.7510917030567685
168,Costa Rica,9.7489,-83.7534,114367,1444,70002,0.6120821565661423,1.2626019743457466
169,Cote d'Ivoire,7.54,-5.5471,20789,126,20466,0.984462937130213,0.6060897590071672
170,Croatia,45.1,15.2,59415,683,43376,0.7300513338382564,1.149541361609021
171,Cuba,21.521757,-77.78116700000002,7184,129,6502,0.9050668151447662,1.7956570155902003
172,Cyprus,35.1264,33.4299,5333,27,1882,0.35289705606600413,0.5062816426026626
173,Czechia,49.8175,15.472999999999999,391945,4330,214272,0.5466889487045377,1.104746839480029
174,Denmark,61.8926,-6.9118,495,0,490,0.98989898989899,0.0
175,Denmark,71.7069,-42.6043,17,0,17,1.0,0.0
176,Denmark,56.2639,9.5018,51753,733,37756,0.729542248758526,1.4163430139315596
177,Diamond Princess,,,712,13,659,0.925561797752809,1.8258426966292132
178,Djibouti,11.8251,42.5903,5599,61,5479,0.9785676013573853,1.089480264332917
179,Dominica,15.415,-61.371,57,0,35,0.6140350877192983,0.0
180,Dominican Republic,18.7357,-70.1627,128824,2260,106650,0.8278736881326461,1.7543314910265169
181,Ecuador,-1.8312,-78.1834,171783,12730,149048,0.867652794514009,7.410512099567478
182,Egypt,26.820553000000004,30.802497999999996,108530,6329,100006,0.9214595042845296,5.831567308578272
183,El Salvador,13.7942,-88.8965,34782,997,30707,0.8828416997297452,2.8664251624403425
184,Equatorial Guinea,1.6508,10.2679,5092,85,4968,0.9756480754124116,1.6692851531814612
185,Eritrea,15.1794,39.7823,484,0,429,0.8863636363636364,0.0
186,Estonia,58.5953,25.0136,5464,73,4032,0.7379209370424598,1.3360175695461203
187,Eswatini,-26.5225,31.4659,5967,117,5694,0.954248366013072,1.96078431372549
188,Ethiopia,9.145,40.4897,98391,1508,57114,0.5804799219440803,1.5326605075667492
189,Fiji,-17.7134,178.065,34,2,31,0.9117647058823529,5.882352941176472
190,Finland,61.92411,25.748151,17119,361,12700,0.7418657631871021,2.108768035516093
191,France,4.0,-53.0,10620,70,9995,0.9411487758945386,0.6591337099811676
192,France,-17.6797,-149.4068,9754,39,4842,0.4964117285216322,0.3998359647324175
193,France,16.265,-61.551,7903,133,2242,0.28368973807414904,1.682905225863596
194,France,14.6415,-61.0242,4215,33,98,0.0232502965599051,0.7829181494661922
195,France,-12.8275,45.166244,4550,45,2964,0.6514285714285715,0.989010989010989
196,France,-20.904304999999997,165.618042,29,0,28,0.9655172413793104,0.0
197,France,-21.1151,55.5364,6037,26,4884,0.8090110982275965,0.4306774888189498
198,France,17.9,-62.8333,90,0,77,0.8555555555555555,0.0
199,France,46.8852,-56.3159,16,0,12,0.75,0.0
200,France,18.0708,-63.0501,604,12,522,0.8642384105960265,1.9867549668874167
201,France,46.2276,2.2137,1605171,38730,104095,0.0648497885895023,2.412827044595249
202,Gabon,-0.8037,11.6094,9005,55,8846,0.9823431426985009,0.6107717934480844
203,Gambia,13.4432,-15.3101,3681,120,3518,0.9557185547405597,3.2599837000814995
204,Georgia,42.3154,43.3569,49218,401,33459,0.6798122638059246,0.8147425738550936
205,Germany,48.6616,9.3501,93267,2092,60865,0.6525888041858321,2.2430227197186574
206,Germany,48.7904,11.4979,123225,2885,84397,0.6849016027591803,2.3412456887806856
207,Germany,52.52,13.405,37357,287,23001,0.6157078994565944,0.7682629761490484
208,Germany,52.4125,12.5316,9927,216,6888,0.6938652160773647,2.1758839528558482
209,Germany,53.0793,8.8017,6615,81,3907,0.5906273620559335,1.2244897959183674
210,Germany,53.5511,9.9937,15778,298,9707,0.6152237292432501,1.8887057928761568
211,Germany,50.6521,9.1624,49327,729,28596,0.579723072556612,1.477892432136558
212,Germany,53.6127,12.4296,3443,24,2104,0.6110949753122277,0.6970665117629974
213,Germany,52.6367,9.8451,42707,802,28910,0.6769382068513359,1.8779122860421007
214,Germany,51.4332,7.6616,159027,2297,97827,0.6151596898639854,1.4444088110823947
215,Germany,50.1183,7.309,24320,310,14635,0.6017680921052632,1.274671052631579
216,Germany,49.3964,7.023,8306,204,5598,0.6739706236455574,2.456055863231399
217,Germany,51.1045,13.2017,22957,386,12270,0.5344775014156902,1.6814043646817964
218,Germany,51.9503,11.6923,6179,88,3897,0.6306845767923612,1.4241786696876515
219,Germany,54.2194,9.6961,9316,194,6406,0.6876341777586947,2.0824388149420354
220,Germany,51.011,10.8453,8302,217,5608,0.6754998795470971,2.6138279932546373
221,Germany,,,11119,0,0,0.0,0.0
222,Ghana,7.9465,-1.0232,48788,320,47521,0.9740304993031074,0.6558989915553005
223,Greece,39.0742,21.8243,49807,702,23074,0.46326821531110085,1.4094404400987812
224,Grenada,12.1165,-61.678999999999995,30,0,27,0.9,0.0
225,Guatemala,15.7835,-90.2308,109849,3766,99753,0.9080920172236434,3.4283425429453165
226,Guinea,9.9456,-9.6966,12363,73,10751,0.8696109358569927,0.5904715683895495
227,Guinea-Bissau,11.8037,-15.1804,2414,42,1862,0.7713338856669428,1.7398508699254351
228,Guyana,4.860416000000002,-58.93018000000001,4393,130,3409,0.7760072843159572,2.9592533576143865
229,Haiti,18.9712,-72.2852,9109,232,7589,0.8331320671862993,2.546931606103853
230,Holy See,41.9029,12.4534,27,0,15,0.5555555555555556,0.0
231,Honduras,15.2,-86.2419,99347,2736,42574,0.42853835546116137,2.7539835123355507
232,Hungary,47.1625,19.5033,94916,2147,22823,0.24045471785578829,2.262000084285052
233,Iceland,64.9631,-19.0208,5017,18,4237,0.8445286027506478,0.35878014749850506
234,India,11.225999,92.96817800000001,4403,60,4175,0.9482171246877129,1.3627072450601865
235,India,15.9129,79.74,835953,6757,807318,0.9657456818744594,0.8082990311656277
236,India,27.768456,96.384277,15244,43,13580,0.8908422986092889,0.2820781946995539
237,India,26.357149,92.83044100000001,208054,934,199458,0.9586838032433888,0.4489219145029656
238,India,25.679658,85.60484,219349,1121,211872,0.9659127691487083,0.5110577208010978
239,India,30.733839,76.76827800000002,14794,229,13862,0.9370014870893606,1.547924834392321
240,India,21.264705,82.035366,196233,2360,170760,0.8701900291999817,1.2026519494682342
241,India,20.194742,73.080901,3268,2,3230,0.9883720930232558,0.061199510403916774
242,India,28.646519,77.10898,416653,6769,371155,0.8908012182799596,1.624613287315824
243,India,15.359682000000001,74.057396,44544,630,41849,0.9394980244252874,1.4143318965517242
244,India,22.694884,71.590923,177436,3744,161388,0.9095561216438603,2.1100565837823213
245,India,29.20004,76.332824,176146,1859,159643,0.9063106740998944,1.0553745188650323
246,India,31.927213000000002,77.233081,23809,361,19780,0.8307782771220967,1.5162333571338569
247,India,33.75943,76.612638,97224,1517,89905,0.9247202336871554,1.5603143256809018
248,India,23.654536,85.557631,103543,894,97964,0.9461190036989463,0.8634094047883488
249,India,14.705179999999999,76.166436,838929,11312,794503,0.9470443863545067,1.348385858636428
250,India,10.450898,76.405749,466466,1613,380650,0.8160294640981336,0.3457915475082857
251,India,34.1526,77.5771,6633,79,5802,0.8747173224785165,1.1910146238504449
252,India,13.699997199999999,72.18333259999999,0,0,0,,
253,India,23.541513000000002,78.289633,174825,2992,164067,0.9384641784641785,1.7114257114257114
254,India,19.449759,76.108221,1703444,44804,1551282,0.9106739053353089,2.630200934107608
255,India,24.738975,93.882541,19725,189,15750,0.7984790874524715,0.9581749049429658
256,India,25.536934,91.278882,9893,91,8813,0.890831901344385,0.9198423127463864
257,India,23.309381,92.83821999999999,2990,2,2473,0.8270903010033445,0.06688963210702341
258,India,26.06702,94.470302,9264,45,8161,0.8809369602763385,0.4857512953367876
259,India,20.505428,84.418059,297274,1378,283533,0.9537766504975208,0.4635454160135094
260,India,11.882658000000001,78.86498,35550,597,33123,0.9317299578059072,1.679324894514768
261,India,30.841465000000003,75.40879,135834,4281,126932,0.9344641253294462,3.1516409735412343
262,India,26.583423,73.847973,205800,1955,187544,0.9112925170068027,0.9499514091350826
263,India,27.571671000000002,88.472712,4093,75,3778,0.9230393354507697,1.832396774981676
264,India,11.006091,78.400624,736777,11272,706444,0.9588301480637967,1.5299066067480391
265,India,18.1124,79.0193,247284,1366,226646,0.9165413047346371,0.5524012875883599
266,India,23.746782999999997,91.743565,31347,354,29666,0.9463744536957285,1.129294669346349
267,India,,,0,0,0,,
268,India,26.925425,80.560982,491354,7131,461073,0.9383723344065582,1.4512958070963091
269,India,30.156446999999996,79.197608,64065,1047,59338,0.9262155623195193,1.6342776867244204
270,India,23.814082,87.979803,393524,7122,350449,0.8905403482379728,1.8098006728941565
271,Indonesia,-0.7893,113.9213,425796,14348,357142,0.8387631635806818,3.369688771148625
272,Iran,32.427908,53.68804599999999,654936,36985,505287,0.7715059181355125,5.647116664834425
273,Iraq,33.223191,43.679291,489571,11175,420206,0.8583147286093334,2.282610693852373
274,Ireland,53.1424,-7.6921,64046,1933,23364,0.3648002997845299,3.018143209568123
275,Israel,31.046051000000002,34.851612,317863,2639,306113,0.9630343890292359,0.8302318923561408
276,Italy,42.35122196,13.39843823,13114,577,4273,0.3258349855116669,4.399877992984597
277,Italy,40.63947052,15.80514834,2923,56,746,0.25521724255901473,1.9158398905234348
278,Italy,38.90597598,16.59440194,6450,128,2078,0.3221705426356589,1.984496124031008
279,Italy,40.83956555,14.25084984,73501,756,14697,0.19995646317737173,1.0285574345927266
280,Italy,44.49436681,11.341720800000001,65091,4712,28403,0.4363583291084789,7.239096034782075
281,Italy,45.6494354,13.76813649,12810,423,6008,0.46900858704137394,3.3021077283372366
282,Italy,41.89277044,12.48366722,58008,1344,12374,0.21331540477175562,2.3169218038891186
283,Italy,44.41149315,8.9326992,33325,1863,20239,0.6073218304576145,5.590397599399849
284,Italy,45.46679409,9.190347404,233013,17987,102502,0.4398982031045478,7.7193117980541865
285,Italy,43.61675973,13.5188753,16959,1034,7298,0.4303319771212925,6.097057609528862
286,Italy,41.55774754,14.65916051,2123,42,746,0.35138954309938764,1.9783325482807348
287,Italy,46.49933453,11.35662422,10859,326,2985,0.27488719034901926,3.002118058753108
288,Italy,46.06893511,11.12123097,10192,454,7402,0.7262558869701727,4.45447409733124
289,Italy,45.0732745,7.680687483,84580,4520,36086,0.42664932608181605,5.344052967604635
290,Italy,41.12559576,16.86736689,22935,789,7323,0.3192936559843035,3.4401569653368216
291,Italy,39.21531192,9.110616306,11053,247,3438,0.3110467746313218,2.2346874151813987
292,Italy,38.11569725,13.362356699999998,27402,594,8282,0.30224071235676225,2.1677249835778407
293,Italy,43.76923077,11.25588885,55088,1470,16136,0.29291315713040955,2.6684577403427245
294,Italy,43.10675841,12.38824698,12824,165,4270,0.3329694323144105,1.286650031191516
295,Italy,45.73750286,7.320149366,3834,189,1493,0.38941053729786124,4.929577464788731
296,Italy,45.43490485,12.33845213,68795,2516,25560,0.37153862926084746,3.657242532160768
297,Jamaica,18.1096,-77.2975,9373,217,4745,0.5062413314840499,2.315160567587752
298,Japan,35.035551,137.211621,6543,95,5729,0.8755922359773805,1.4519333639003515
299,Japan,39.748678999999996,140.408228,67,0,60,0.8955223880597015,0.0
300,Japan,40.781541,140.828896,264,4,172,0.6515151515151515,1.5151515151515151
301,Japan,35.510141,140.198917,5208,81,4745,0.9110983102918587,1.555299539170507
302,Japan,33.624835,132.856842,116,6,110,0.9482758620689655,5.172413793103448
303,Japan,35.846614,136.22465400000002,257,11,245,0.953307392996109,4.280155642023346
304,Japan,33.526032,130.666949,5245,103,5070,0.9666348903717826,1.9637750238322207
305,Japan,37.378867,140.223295,409,6,367,0.8973105134474327,1.4669926650366751
306,Japan,35.778671,137.055925,710,12,650,0.9154929577464789,1.6901408450704225
307,Japan,36.504478999999996,138.985605,913,20,838,0.9178532311062432,2.190580503833516
308,Japan,34.605309000000005,132.788719,664,5,646,0.9728915662650602,0.7530120481927711
309,Japan,43.385711,142.55231799999999,3555,112,2690,0.7566807313642757,3.150492264416315
310,Japan,35.039913,134.828057,3406,66,3071,0.9016441573693482,1.9377568995889607
311,Japan,36.303588,140.319591,789,19,723,0.9163498098859315,2.4081115335868186
312,Japan,36.769464,136.771027,815,49,746,0.9153374233128835,6.012269938650308
313,Japan,39.593287,141.361777,29,0,25,0.8620689655172413,0.0
314,Japan,34.217292,133.969047,104,2,97,0.9326923076923077,1.9230769230769231
315,Japan,31.009484000000004,130.430665,505,13,463,0.9168316831683169,2.5742574257425743
316,Japan,35.415312,139.338983,9034,174,8198,0.9074607040070843,1.9260571175558998
317,Japan,33.422519,133.367307,144,4,139,0.9652777777777778,2.7777777777777777
318,Japan,32.608154,130.74523100000002,836,8,755,0.90311004784689,0.9569377990430622
319,Japan,35.253815,135.443341,2101,30,1953,0.9295573536411232,1.4278914802475011
320,Japan,34.508018,136.376013,574,6,543,0.945993031358885,1.0452961672473868
321,Japan,38.446859,140.927086,822,3,567,0.6897810218978102,0.36496350364963503
322,Japan,32.193203999999994,131.299374,372,1,367,0.9865591397849462,0.26881720430107525
323,Japan,36.132134,138.045528,349,6,336,0.9627507163323782,1.7191977077363896
324,Japan,33.235712,129.608033,246,3,241,0.9796747967479674,1.2195121951219512
325,Japan,34.317451,135.871644,694,10,615,0.8861671469740634,1.4409221902017288
326,Japan,37.521819,138.918647,185,0,180,0.972972972972973,0.0
327,Japan,33.200697,131.43323999999998,159,3,156,0.9811320754716981,1.8867924528301887
328,Japan,34.89246,133.826252,315,7,172,0.546031746031746,2.2222222222222223
329,Japan,25.768923,126.668016,3438,64,3053,0.8880162885398487,1.8615474112856312
330,Japan,34.620965000000005,135.507481,13316,248,11923,0.8953890057074196,1.8624211474917396
